Point,flag,Comment,SiO2(Mass%),MgO(Mass%),CaO(Mass%),K2O(Mass%),TiO2(Mass%),FeO(Mass%),MnO(Mass%),Na2O(Mass%),Al2O3(Mass%),Total(Mass%),
7,WDS,MAC Diopside,54.92,17.1,25.025,0.013,0.301,3.015,0.114,0.143,0.77,101.401, 
8,WDS,MAC Diopside,54.916,16.951,24.983,0.017,0.299,3.03,0.044,0.145,0.792,101.177, 
9,WDS,MAC Diopside,54.921,17.065,25.043,0.018,0.301,3.067,0.111,0.135,0.808,101.469, 
10,WDS,MAC Almandine,37.97,5.59,1.625,0.019,0.048,33.114,1.235,0.021,21.635,101.257, 
11,WDS,MAC Almandine,37.96,5.52,1.673,0.01,0.041,33.191,1.162,0.017,21.679,101.253, 
12,WDS,MAC Almandine,37.948,5.516,1.636,0.009,0.028,33.18,1.195,0.019,21.479,101.01, 
13,WDS,MAC Pyrope,39.828,8.168,8.612,0.019,0.047,21.611,0.621,0.028,22.38,101.314, 
14,WDS,MAC Pyrope,39.69,8.042,8.746,0.017,0.044,21.662,0.646,0.014,22.425,101.286, 
15,WDS,MAC Pyrope,39.555,8.015,8.646,0.013,0.064,21.637,0.629,0.017,22.31,100.886, 
16,WDS,MAC Labradorite,56.066,0.001,10.253,0.368,0.001,0.262,-0.018,5.36,28.198,100.491, 
17,WDS,MAC Labradorite,55.827,0,10.259,0.32,0.003,0.248,0.011,5.371,28.133,100.172, 
18,WDS,MAC Labradorite,55.784,0.006,10.303,0.362,-0.011,0.252,-0.01,5.283,28.391,100.36, 
19,WDS,SI Anorthite,44.317,0.039,18.881,0.026,-0.004,0.464,-0.025,0.51,35.911,100.119, 
20,WDS,SI Anorthite,44.353,0.043,18.851,0.029,-0.002,0.472,0.007,0.537,35.955,100.245, 
21,WDS,SI Anorthite,44.345,0.049,18.766,0.027,-0.005,0.427,0.006,0.53,35.876,100.021, 
22,WDS,SI Anorthoclase,67.482,-0.009,0.532,2.462,0,0.141,-0.009,9.818,20.079,100.496, 
23,WDS,SI Anorthoclase,67.734,-0.015,0.508,2.442,0.006,0.181,0.007,9.681,19.94,100.484, 
24,WDS,SI Anorthoclase,67.369,-0.02,0.522,2.395,0.015,0.177,-0.001,9.81,19.954,100.221, 
25,WDS,SI Diopside,56.097,18.565,25.487,0.018,-0.013,0.188,0.026,0.071,0.06,100.499, 
26,WDS,SI Diopside,56.277,18.644,25.436,0.008,-0.01,0.211,0.042,0.055,0.057,100.72, 
27,WDS,SI Diopside,56.262,18.627,25.46,0.023,-0.006,0.172,0.014,0.07,0.062,100.684, 
28,WDS,SI Hornblende,40.495,12.764,10.042,2.205,4.603,10.586,0.125,2.524,14.222,97.566, 
